x,y,z,U_0,U_1,U_2
0,0,0,1.5,0,0
0,0.1,0,2.1,0,0
0,0.2,0,2.7,0,0
0,0.3,0,3,0,0
0,0.4,0,3,0,0
0,0.5,0,3,0,0
0,0.6,0,3,0,0
0,0.7,0,3,0,0
0,0.8,0,3,0,0
0,0.9,0,3,0,0
0,1,0,3,0,0
0,1.1,0,3,0,0
0,1.2,0,3,0,0
0,1.3,0,3,0,0
0,1.4,0,3,0,0
0,1.5,0,3,0,0
0,1.6,0,3,0,0
0,1.7,0,3,0,0
0,1.8,0,3,0,0
0,1.9,0,3,0,0
0,2,0,3,0,0
0,2.1,0,3,0,0
0,2.2,0,3,0,0
0,2.3,0,3,0,0
0,2.4,0,3,0,0
0,2.5,0,3,0,0
0,2.6,0,3,0,0
0,2.7,0,3,0,0
0,2.8,0,3,0,0
0,2.9,0,3,0,0
0,3,0,3,0,0
0,3.1,0,3,0,0
0,3.2,0,3,0,0
0,3.3,0,3,0,0
0,3.4,0,3,0,0
0,3.5,0,3,0,0
0,3.6,0,3,0,0
0,3.7,0,3,0,0
0,3.8,0,3,0,0
0,3.9,0,3,0,0
0,4,0,3,0,0
0,4.1,0,3,0,0
0,4.2,0,3,0,0
0,4.3,0,3,0,0
0,4.4,0,3,0,0
0,4.5,0,3,0,0
0,4.6,0,3,0,0
0,4.7,0,3,0,0
0,4.8,0,3,0,0
0,4.9,0,3,0,0
0,5,0,3,0,0
0,5.1,0,3,0,0
0,5.2,0,3,0,0
0,5.3,0,3,0,0
0,5.4,0,3,0,0
0,5.5,0,3,0,0
0,5.6,0,3,0,0
0,5.7,0,3,0,0
0,5.8,0,3,0,0
0,5.9,0,3,0,0
0,6,0,3,0,0
0,6.1,0,3,0,0
0,6.2,0,3,0,0
0,6.3,0,3,0,0
0,6.4,0,3,0,0
0,6.5,0,3,0,0
0,6.6,0,3,0,0
0,6.7,0,3,0,0
0,6.8,0,3,0,0
0,6.9,0,3,0,0
0,7,0,3,0,0
0,7.1,0,3,0,0
0,7.2,0,3,0,0
0,7.3,0,3,0,0
0,7.4,0,3,0,0
0,7.5,0,3,0,0
0,7.6,0,3,0,0
0,7.7,0,3,0,0
0,7.8,0,3,0,0
0,7.9,0,3,0,0
0,8,0,3,0,0
0,8.1,0,3,0,0
0,8.2,0,3,0,0
0,8.3,0,3,0,0
0,8.4,0,3,0,0
0,8.5,0,3,0,0
0,8.6,0,3,0,0
0,8.7,0,3,0,0
0,8.8,0,3,0,0
0,8.9,0,3,0,0
0,9,0,3,0,0
0,9.1,0,3,0,0
0,9.2,0,3,0,0
0,9.3,0,3,0,0
0,9.4,0,3,0,0
0,9.5,0,3,0,0
0,9.6,0,3,0,0
0,9.7,0,3,0,0
0,9.8,0,3,0,0
0,9.9,0,3,0,0
0,10,0,3,0,0
0,10.1,0,3,0,0
0,10.2,0,3,0,0
0,10.3,0,3,0,0
0,10.4,0,3,0,0
0,10.5,0,3,0,0
0,10.6,0,3,0,0
0,10.7,0,3,0,0
0,10.8,0,3,0,0
0,10.9,0,3,0,0
0,11,0,3,0,0
0,11.1,0,3,0,0
0,11.2,0,3,0,0
0,11.3,0,3,0,0
0,11.4,0,3,0,0
0,11.5,0,3,0,0
0,11.6,0,3,0,0
0,11.7,0,3,0,0
0,11.8,0,3,0,0
0,11.9,0,3,0,0
0,12,0,3,0,0
0,12.1,0,3,0,0
0,12.2,0,3,0,0
0,12.3,0,3,0,0
0,12.4,0,2.82294,0,0
0,12.5,0,2.31704,0,0
0,12.6,0,1.81115,0,0
0,12.7,0,1.30525,0,0
0.1,0,0,0.9,0,0
0.1,0.1,0,2.10951,0.0140896,-3.5e-08
0.1,0.2,0,2.70951,0.0140896,-3.5e-08
0.1,0.3,0,3.01472,0.0125425,-3.5e-08
0.1,0.4,0,3.01993,0.0109954,-3.5e-08
0.1,0.5,0,3.01993,0.0109954,-3.5e-08
0.1,0.6,0,3.01879,0.0057653,-7.5e-08
0.1,0.7,0,3.01879,0.0057653,-7.5e-08
0.1,0.8,0,3.01842,0.00483654,-5e-08
0.1,0.9,0,3.01805,0.00390779,-2.5e-08
0.1,1,0,3.01805,0.00390779,-2.5e-08
0.1,1.1,0,3.01769,0.00210728,-4.5e-08
0.1,1.2,0,3.01769,0.00210728,-4.5e-08
0.1,1.3,0,3.01759,0.00155259,-3e-08
0.1,1.4,0,3.0175,0.000997896,-1.5e-08
0.1,1.5,0,3.0175,0.000997896,-1.5e-08
0.1,1.6,0,3.01738,0.000107273,-6.5e-08
0.1,1.7,0,3.01738,0.000107273,-6.5e-08
0.1,1.8,0,3.01733,-0.000232145,-6.75e-08
0.1,1.9,0,3.01728,-0.000571562,-7e-08
0.1,2,0,3.01728,-0.000571562,-7e-08
0.1,2.1,0,3.01717,-0.0010965,5e-09
0.1,2.2,0,3.01717,-0.0010965,5e-09
0.1,2.3,0,3.01709,-0.00129485,-2e-08
0.1,2.4,0,3.01702,-0.00149321,-4.5e-08
0.1,2.5,0,3.01702,-0.00149321,-4.5e-08
0.1,2.6,0,3.01679,-0.00176822,-5.2038e-19
0.1,2.7,0,3.01679,-0.00176822,-5.20417e-19
0.1,2.8,0,3.01662,-0.00186109,2.5e-09
0.1,2.9,0,3.01645,-0.00195396,5e-09
0.1,3,0,3.01645,-0.00195396,5e-09
0.1,3.1,0,3.01598,-0.0021031,5e-09
0.1,3.2,0,3.01598,-0.0021031,5e-09
0.1,3.3,0,3.01569,-0.00219334,2.5e-09
0.1,3.4,0,3.01539,-0.00228357,-2.60209e-18
0.1,3.5,0,3.01539,-0.00228357,-2.60209e-18
0.1,3.6,0,3.01477,-0.00253323,1.73472e-19
0.1,3.7,0,3.01477,-0.00253323,1.73472e-19
0.1,3.8,0,3.01446,-0.00283079,-1.73472e-19
0.1,3.9,0,3.01415,-0.00312836,-5.20417e-19
0.1,4,0,3.01415,-0.00312836,-5.20417e-19
0.1,4.1,0,3.01382,-0.00441182,2.60209e-19
0.1,4.2,0,3.01382,-0.00441182,2.60209e-19
0.1,4.3,0,3.0138,-0.00515206,2.5e-10
0.1,4.4,0,3.01377,-0.0058923,5e-10
0.1,4.5,0,3.01377,-0.0058923,5e-10
0.1,4.6,0,3.01318,-0.0069876,5e-10
0.1,4.7,0,3.01318,-0.0069876,5e-10
0.1,4.8,0,3.01456,-0.00603712,2.5e-10
0.1,4.9,0,3.01595,-0.00508664,-3.46945e-19
0.1,5,0,3.01595,-0.00508664,-3.46945e-19
0.1,5.1,0,3.02034,-0.002972,5e-10
0.1,5.2,0,3.02316,-0.00233194,5e-10
0.1,5.3,0,3.02465,-0.00158744,5e-10
0.1,5.4,0,3.02526,-0.00072898,5e-10
