x,y,z,U_0,U_1,U_2
0,0,0,0.3,-7.81219e-05,0
0,0.1,0,0.3,-5.58014e-05,0
0,0.2,0,0.3,-3.34808e-05,0
0,0.3,0,0.3,-1.11603e-05,0
0,0.4,0,0.3,0,0
0,0.5,0,0.3,0,0
0,0.6,0,0.3,0,0
0,0.7,0,0.3,0,0
0,0.8,0,0.3,0,0
0,0.9,0,0.3,0,0
0,1,0,0.3,0,0
0,1.1,0,0.3,0,0
0,1.2,0,0.3,0,0
0,1.3,0,0.3,0,0
0,1.4,0,0.3,0,0
0,1.5,0,0.3,0,0
0,1.6,0,0.3,0,0
0,1.7,0,0.3,0,0
0,1.8,0,0.3,0,0
0,1.9,0,0.3,0,0
0,2,0,0.3,0,0
0,2.1,0,0.3,0,0
0,2.2,0,0.3,0,0
0,2.3,0,0.3,0,0
0,2.4,0,0.3,0,0
0,2.5,0,0.3,0,0
0,2.6,0,0.3,0,0
0,2.7,0,0.3,0,0
0,2.8,0,0.3,0,0
0,2.9,0,0.3,0,0
0,3,0,0.3,0,0
0,3.1,0,0.3,0,0
0,3.2,0,0.3,0,0
0,3.3,0,0.3,0,0
0,3.4,0,0.3,0,0
0,3.5,0,0.3,0,0
0,3.6,0,0.3,0,0
0,3.7,0,0.3,0,0
0,3.8,0,0.3,0,0
0,3.9,0,0.3,0,0
0,4,0,0.3,0,0
0,4.1,0,0.3,0,0
0,4.2,0,0.3,0,0
0,4.3,0,0.3,0,0
0,4.4,0,0.3,0,0
0,4.5,0,0.3,0,0
0,4.6,0,0.3,0,0
0,4.7,0,0.3,0,0
0,4.8,0,0.3,0,0
0,4.9,0,0.3,0,0
0,5,0,0.3,0,0
0,5.1,0,0.3,0,0
0,5.2,0,0.3,0,0
0,5.3,0,0.3,0,0
0,5.4,0,0.3,0,0
0,5.5,0,0.3,0,0
0,5.6,0,0.3,0,0
0,5.7,0,0.3,0,0
0,5.8,0,0.3,0,0
0,5.9,0,0.3,0,0
0,6,0,0.3,0,0
0,6.1,0,0.3,0,0
0,6.2,0,0.3,0,0
0,6.3,0,0.3,0,0
0,6.4,0,0.3,0,0
0,6.5,0,0.3,0,0
0,6.6,0,0.3,0,0
0,6.7,0,0.3,0,0
0,6.8,0,0.3,0,0
0,6.9,0,0.3,0,0
0,7,0,0.3,0,0
0,7.1,0,0.3,0,0
0,7.2,0,0.3,0,0
0,7.3,0,0.3,0,0
0,7.4,0,0.3,0,0
0,7.5,0,0.3,0,0
0,7.6,0,0.3,0,0
0,7.7,0,0.3,0,0
0,7.8,0,0.3,0,0
0,7.9,0,0.3,0,0
0,8,0,0.3,0,0
0,8.1,0,0.3,0,0
0,8.2,0,0.3,0,0
0,8.3,0,0.3,0,0
0,8.4,0,0.3,0,0
0,8.5,0,0.3,0,0
0,8.6,0,0.3,0,0
0,8.7,0,0.3,0,0
0,8.8,0,0.3,0,0
0,8.9,0,0.3,0,0
0,9,0,0.3,0,0
0,9.1,0,0.3,0,0
0,9.2,0,0.3,0,0
0,9.3,0,0.3,0,0
0,9.4,0,0.3,0,0
0,9.5,0,0.3,0,0
0,9.6,0,0.3,0,0
0,9.7,0,0.3,0,0
0,9.8,0,0.3,0,0
0,9.9,0,0.3,0,0
0,10,0,0.3,0,0
0,10.1,0,0.3,0,0
0,10.2,0,0.3,0,0
0,10.3,0,0.3,0,0
0,10.4,0,0.3,0,0
0,10.5,0,0.3,0,0
0,10.6,0,0.3,0,0
0,10.7,0,0.3,0,0
0,10.8,0,0.3,0,0
0,10.9,0,0.3,0,0
0,11,0,0.3,0,0
0,11.1,0,0.3,0,0
0,11.2,0,0.3,0,0
0,11.3,0,0.3,0,0
0,11.4,0,0.3,0,0
0,11.5,0,0.3,0,0
0,11.6,0,0.3,0,0
0,11.7,0,0.3,0,0
0,11.8,0,0.3,0,0
0,11.9,0,0.3,0,0
0,12,0,0.3,0,0
0,12.1,0,0.3,0,0
0,12.2,0,0.3,0,0
0,12.3,0,0.3,0,0
0,12.4,0,0.3,0,0
0,12.5,0,0.3,2.80103e-06,0
0,12.6,0,0.299998,1.0804e-05,0
0,12.7,0,0.299997,1.88069e-05,0
0.1,0,0,0.3,-0.00011821,0
0.1,0.1,0,0.3,-9.07963e-05,0
0.1,0.2,0,0.3,-6.84758e-05,0
0.1,0.3,0,0.3,-4.61552e-05,0
0.1,0.4,0,0.3,-4.45096e-05,0
0.1,0.5,0,0.3,-4.45096e-05,0
0.1,0.6,0,0.3,-4.45096e-05,0
0.1,0.7,0,0.299999,-4.99176e-05,0
0.1,0.8,0,0.299999,-4.28173e-05,0
0.1,0.9,0,0.299999,-4.28173e-05,0
0.1,1,0,0.299999,-4.28173e-05,0
0.1,1.1,0,0.299999,-4.02837e-05,0
0.1,1.2,0,0.299999,-4.02837e-05,0
0.1,1.3,0,0.299999,-4.02837e-05,0
0.1,1.4,0,0.299998,-4.82031e-05,0
0.1,1.5,0,0.299998,-3.69296e-05,0
0.1,1.6,0,0.299998,-3.69296e-05,0
0.1,1.7,0,0.299998,-3.69296e-05,0
0.1,1.8,0,0.299998,-3.27979e-05,0
0.1,1.9,0,0.299998,-3.27979e-05,0
0.1,2,0,0.299998,-3.27979e-05,0
0.1,2.1,0,0.299997,-4.54677e-05,0
0.1,2.2,0,0.299997,-2.79677e-05,0
0.1,2.3,0,0.299997,-2.79677e-05,0
0.1,2.4,0,0.299997,-2.79677e-05,0
0.1,2.5,0,0.299997,-2.25726e-05,0
0.1,2.6,0,0.299997,-2.25726e-05,0
0.1,2.7,0,0.299997,-2.25726e-05,0
0.1,2.8,0,0.299996,-4.17913e-05,0
0.1,2.9,0,0.299996,-1.68114e-05,0
0.1,3,0,0.299996,-1.68114e-05,0
0.1,3.1,0,0.299996,-1.68114e-05,0
0.1,3.2,0,0.299995,-1.09605e-05,0
0.1,3.3,0,0.299995,-1.09605e-05,0
0.1,3.4,0,0.299995,-1.09605e-05,0
0.1,3.5,0,0.299996,-3.71533e-05,0
0.1,3.6,0,0.299995,-5.382e-06,0
0.1,3.7,0,0.299995,-5.382e-06,0
0.1,3.8,0,0.299995,-5.382e-06,0
0.1,3.9,0,0.299994,-5.18309e-07,0
0.1,4,0,0.299994,-5.18309e-07,0
0.1,4.1,0,0.299994,-5.18309e-07,0
0.1,4.2,0,0.299996,-3.13384e-05,0
0.1,4.3,0,0.299994,3.15269e-06,0
0.1,4.4,0,0.299994,3.15269e-06,0
0.1,4.5,0,0.299994,3.15269e-06,0
0.1,4.6,0,0.299994,5.11811e-06,0
0.1,4.7,0,0.299994,5.11811e-06,0
0.1,4.8,0,0.299994,5.11811e-06,0
0.1,4.9,0,0.299998,-2.3838e-05,0
